ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M17104900+3227242,2386,257.704178,32.456741,450.8,-48.110699,0.006791,3891.364,62.967,4.7324,0.1046,2.25803,0.155761,0.0078726
2M17111718+3236199,2386,257.821623,32.605537,68.472,-65.890297,0.041654,3407.323,75.332,5.0885,0.1253,6.90272,-0.306469,0.023085
2M17111927+5749207,5188,257.830299,57.82243,131.78,-10.0833,0.041113,3712.539,71.611,4.7663,0.1192,7.46518,-0.231979,0.014554
2M17113806+5550269,5757,257.908617,55.840828,137.01,-47.344501,0.022694,3708.143,71.6,4.8804,0.1266,5.83566,-0.419219,0.016332
2M17115657+6604086,5765,257.985711,66.069061,97.952,-7.1963,0.042949,3583.655,72.774,4.9932,0.1176,6.996,-0.155149,0.016348
2M17121466+6102062,2241,258.061106,61.03508,62.63,-58.450901,0.038881,3588.317,82.827,4.7639,0.118,4.00913,-0.208069,0.020747
2M17122161+2736207,2382,258.090053,27.605762,68.731,-71.965897,0.052194,3825.022,96.332,5.2712,0.1477,6.56644,-1.029249,0.033873
2M17122285+5601548,5757,258.095222,56.031891,140.48,-51.263,0.023713,3986.792,75.604,4.7375,0.1116,3.31505,-0.134959,0.011553
2M17124626+5640222,5757,258.192751,56.672836,164.22,-16.051399,0.017548,3557.875,71.77,4.9634,0.1186,5.01695,-0.167309,0.016554
2M17125074+6035145,4454,258.211437,60.587387,179.82,-37.800999,0.019949,3932.315,67.857,4.7728,0.1088,3.73758,-0.002182,0.0094033
2M17125074+6035145,2241,258.211437,60.587387,97.854,-37.975399,0.032068,3935.527,85.028,4.7305,0.1071,3.99264,-0.028184,0.013774
2M17133497+3125001,2387,258.395735,31.416714,132.82,6.02809,0.022837,3595.517,76.765,4.7604,0.1195,5.18179,-0.224439,0.018356
2M17134887+5746300,2256,258.453662,57.775005,72.564,-46.702801,0.0644,3484.657,77.841,4.9077,0.1132,5.61035,-0.026555,0.018855
2M17134887+5746300,5757,258.453662,57.775005,272.18,-46.476398,0.011327,3505.257,57.44,4.9738,0.1179,5.8864,-0.061627,0.011439
2M17135187+3028548,2387,258.466137,30.481909,190.49,-59.560299,0.017403,3988.053,64.907,4.6846,0.1038,3.6062,0.139621,0.0076503
2M17140264+3207481,2003,258.511002,32.130051,208.67,-27.692801,0.021397,3494.552,58.001,5.193,0.1227,11.64126,-0.185509,0.012666
